         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      419    0.002    0.000    0.021    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:3971(_ixs)
   158774    0.020    0.000    0.020    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:2514(_validate_dt64_dtype)
   119992    0.020    0.000    0.020    0.000 {method '__exit__' of '_thread.lock' objects}
2090/1672    0.004    0.000    0.019    0.000 {built-in method numpy.asarray}
     1254    0.005    0.000    0.016    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6281(__getattr__)
    30363    0.016    0.000    0.016    0.000 {built-in method now}
     2930    0.006    0.000    0.015    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6298(__setattr__)
    36931    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
   199708    0.014    0.000    0.014    0.000 C:\Users\hjmne\PycharmProjects\chest\equity_domain.py:53(<lambda>)
   199708    0.013    0.000    0.013    0.000 {method 'add' of 'set' objects}
   199708    0.013    0.000    0.013    0.000 C:\Users\hjmne\PycharmProjects\chest\equity_domain.py:77(<lambda>)
      418    0.009    0.000    0.012    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexers\utils.py:239(maybe_convert_indices)
   121774    0.012    0.000    0.012    0.000 {built-in method builtins.callable}
      419    0.002    0.000    0.011    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4596(_box_col_values)
      836    0.002    0.000    0.010    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:5437(_can_hold_identifiers_and_holds_name)
       73    0.001    0.000    0.010    0.000 C:\Users\hjmne\PycharmProjects\chest\utilities.py:298(fetch_bond_info)
     1255    0.008    0.000    0.010    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6233(__finalize__)
   119992    0.010    0.000    0.010    0.000 {method 'end' of 're.Match' objects}
   119992    0.010    0.000    0.010    0.000 {method 'weekday' of 'datetime.date' objects}
      627    0.002    0.000    0.009    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\common.py:97(is_bool_indexer)
      209    0.003    0.000    0.008    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\range.py:1148(take)
     1672    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      836    0.002    0.000    0.008    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\array_algos\take.py:564(_take_preprocess_indexer_and_fill_value)
      418    0.003    0.000    0.008    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:1861(from_array)
     1254    0.002    0.000    0.007    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:137(is_object_dtype)
      418    0.003    0.000    0.007    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
    89994    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
      147    0.007    0.000    0.007    0.000 {built-in method io.open}
     1255    0.005    0.000    0.006    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:278(__init__)
      209    0.001    0.000    0.006    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1176(__getitem__)
      836    0.006    0.000    0.006    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\cast.py:551(maybe_promote)
      836    0.002    0.000    0.006    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:780(name)
      418    0.001    0.000    0.005    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\_config\config.py:145(_get_option)
      837    0.001    0.000    0.005    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:339(_from_mgr)
      209    0.002    0.000    0.005    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:1146(take)
      419    0.001    0.000    0.005    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:672(_constructor_sliced_from_mgr)
      419    0.004    0.000    0.005    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:1012(iget)
      418    0.001    0.000    0.005    0.000 {method 'all' of 'numpy.ndarray' objects}
      209    0.001    0.000    0.005    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1719(_getitem_axis)
      418    0.000    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:61(_all)
     2926    0.002    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:703(dtype)
      418    0.001    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:659(_constructor_from_mgr)
      418    0.001    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:806(_set_axis)
      836    0.001    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:1571(validate_all_hashable)
      946    0.003    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:5323(__contains__)
     1254    0.002    0.000    0.004    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:730(name)
      836    0.001    0.000    0.003    0.000 {method 'any' of 'numpy.ndarray' objects}
     1045    0.002    0.000    0.003    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\inference.py:195(is_array_like)
      418    0.002    0.000    0.003    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\base.py:82(shape)
      419    0.000    0.000    0.003    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:669(_sliced_from_mgr)
      836    0.000    0.000    0.003    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:55(_any)
      836    0.001    0.000    0.003    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:5552(equals)
     4121    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      418    0.001    0.000    0.003    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\_config\config.py:127(_get_single_key)
      836    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      418    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:236(set_axis)
      418    0.001    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\common.py:81(get_op_result_name)
      365    0.001    0.000    0.002    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:669(update_information_field)
      418    0.000    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\dispatch.py:17(should_extension_dispatch)
      147    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      836    0.002    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\blocks.py:292(make_block_same_class)
     2926    0.002    0.000    0.002    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:1991(dtype)
